caseid,democratic2016,inputstate,region,birthyr,gender,sexuality,trans,educ,edloan,race,employ,internethome,marstat,pew_religimp,religpew,child18,faminc_new,ownhome,urbancity,milstat_5,immstat,union,investor
412439965,1,29,Midwest,1987,Female,Heterosexual,No,Post-grad,Yes,White,Unemployed,Broadband,Married,Not at all important,Agnostic,No,3,Rent,City,Served,5,Never,No
413800692,1,36,Northeast,1993,Female,Heterosexual,No,Post-grad,No,White,Full-time,Broadband,Never Married,Not at all important,Atheist,No,12,Rent,City,Never Served,5,Never,No
412373707,1,29,Midwest,1983,Male,Heterosexual,No,4-year,No,White,Full-time,Broadband,Married,Not at all important,Atheist,Yes,9,Rent,City,Never Served,5,Never,Yes
412469906,1,51,South,1961,Male,Heterosexual,No,2-year,No,White,Unemployed,Broadband,Divorced,Not at all important,Atheist,Yes,9,Rent,Town,Never Served,1,Never,No
420344441,0,38,Midwest,1979,Male,Heterosexual,No,4-year,No,White,Full-time,Broadband,Married,Very important,Roman Catholic,Yes,13,Own,City,Served,5,Never,Yes
413112916,1,12,South,1981,Male,Gay,No,Post-grad,Yes,Hispanic,Full-time,Broadband,Married,Very important,Roman Catholic,Yes,6,Rent,Town,Served,5,Current,No
417352533,1,6,West,1935,Male,Lesbian,No,Post-grad,No,White,Retired,Broadband,Married,Not at all important,Protestant,No,12,Own,City,Served,5,Never,Yes
415235382,1,13,South,1995,Female,Heterosexual,No,High school graduate,No,White,Part-time,Broadband,Never Married,Not at all important,Agnostic,Yes,4,Rent,City,Never Served,5,Never,No
412920706,0,27,Midwest,1990,Male,Heterosexual,No,4-year,No,White,Full-time,Broadband,Never Married,Very important,Roman Catholic,No,7,Own,Suburb,Never Served,5,Former,Yes
420366793,0,47,South,1964,Male,Heterosexual,No,Some college,No,White,Permanently disabled,Broadband,Married,Somewhat important,Something else,No,7,Own,Rural area,Served,5,Never,No
412979444,1,44,Northeast,1962,Male,Heterosexual,No,High school graduate,No,White,Full-time,Broadband,Married,Not at all important,Nothing in particular,No,9,Own,Suburb,Never Served,5,Current,No
413544680,1,6,West,1960,Male,Heterosexual,No,4-year,No,Black,Full-time,Broadband,Divorced,Somewhat important,Nothing in particular,No,10,Rent,Suburb,Served,4,Current,No
412491822,0,34,Northeast,1961,Female,Heterosexual,Prefer not to say,High school graduate,No,White,Permanently disabled,Broadband,Never Married,Very important,Roman Catholic,No,1,Rent,Town,Served,5,Never,No
418252285,1,6,West,1987,Male,Heterosexual,No,Post-grad,No,White,Full-time,Broadband,Married,Somewhat important,Roman Catholic,Yes,8,Own,City,Never Served,5,Never,Yes
415752584,0,42,Northeast,1975,Male,Heterosexual,No,2-year,No,White,Part-time,Broadband,Domestic partnership,Very important,Roman Catholic,No,5,Own,Rural area,Never Served,5,Former,Yes
410537369,1,2,West,1963,Female,Heterosexual,No,Post-grad,Yes,White,Other,Broadband,Married,Not at all important,Agnostic,No,7,Own,Town,Served,5,Former,Yes
412887950,1,17,Midwest,1984,Female,Heterosexual,Yes,Post-grad,Yes,Asian,Unemployed,Dial-up,Never Married,Somewhat important,Hindu,No,9,Rent,City,Served,3,Current,Yes
412320516,0,42,Northeast,1945,Female,Heterosexual,No,2-year,No,White,Retired,Broadband,Widowed,Not at all important,Nothing in particular,No,2,Rent,Town,Served,5,Never,No
414359609,0,25,Northeast,1989,Female,Heterosexual,No,2-year,No,White,Full-time,Broadband,Married,Not too important,Roman Catholic,Yes,9,Rent,Town,Served,5,Never,No
408426657,1,42,Northeast,1981,Female,Bisexual,No,High school graduate,No,White,Homemaker,Broadband,Never Married,Not too important,Nothing in particular,Yes,5,Rent,City,Served,5,Never,No
413230942,1,39,Midwest,1992,Female,Bisexual,No,4-year,No,White,Full-time,Broadband,Never Married,Not at all important,Atheist,No,6,Rent,Suburb,Never Served,5,Never,Yes
416197544,0,9,Northeast,1982,Male,Heterosexual,No,2-year,No,White,Full-time,Broadband,Married,Not too important,Roman Catholic,Yes,11,Own,Rural area,Never Served,5,Current,No
410682502,1,37,South,1939,Male,Heterosexual,No,Post-grad,No,White,Retired,Broadband,Married,Not at all important,Jewish,No,14,Other,Suburb,Never Served,4,Never,Yes
417619781,1,31,Midwest,1935,Male,Heterosexual,No,Some college,No,White,Retired,Broadband,Married,Very important,Protestant,No,3,Own,Town,Served,5,Never,No
415377411,0,51,South,1958,Female,Heterosexual,No,Post-grad,Yes,White,Full-time,Broadband,Married,Very important,Protestant,No,8,Own,Suburb,Served,4,Never,Yes
416761608,0,55,Midwest,1953,Female,Heterosexual,No,2-year,No,White,Retired,Broadband,Married,Not too important,Roman Catholic,No,4,Own,Town,Never Served,4,Never,Yes
416341142,0,34,Northeast,1970,Male,Heterosexual,No,High school graduate,No,White,Retired,Broadband,Divorced,Not at all important,Roman Catholic,No,6,Rent,Suburb,Never Served,5,Former,No
412363287,1,55,Midwest,1955,Male,Heterosexual,No,Post-grad,No,Mixed,Retired,Broadband,Married,Somewhat important,Roman Catholic,No,11,Own,City,Never Served,4,Former,Yes
