country,iso3,cpi_score,gdp_per_capita
Denmark,DNK,88,62134.0277804831
New Zealand,NZL,88,44814.3115073316
Finland,FIN,85,53159.1434717446
Singapore,SGP,85,101649.074863026
Sweden,SWE,85,56668.3156096077
Switzerland,CHE,85,72372.2427980477
Norway,NOR,84,70005.8885797836
Netherlands,NLD,82,61242.5475414734
Germany,DEU,80,57557.8846084843
Luxembourg,LUX,80,124569.44515978
Australia,AUS,77,53378.3927789903
Canada,CAN,77,51663.2492066497
Hong Kong,HKG,77,62495.9599403015
United Kingdom,GBR,77,49930.1688846785
Austria,AUT,76,60398.5991105885
Belgium,BEL,76,56257.1574745554
Estonia,EST,75,39976.9554816851
Iceland,ISL,75,60257.5346309881
Japan,JPN,74,43593.5050635196
Ireland,IRL,72,89818.2172549684
United Arab Emirates,ARE,71,70089.3240378269
Uruguay,URY,71,22515.1935903221
France,FRA,69,50996.0280839373
Bhutan,BTN,68,12355.7935697174
Chile,CHL,67,27002.2617508326
United States of America,USA,67,65297.5175082743
Seychelles,SYC,66,30516.6772624267
Taiwan,TWN,65,NA
Barbados,BRB,64,16330.8876795581
Bahamas,BHS,63,38742.5457547658
Qatar,QAT,63,94028.5976845505
Spain,ESP,62,43443.5833739784
"Korea, South",KOR,61,44011.2315131667
Portugal,PRT,61,37856.3471346082
Botswana,BWA,60,18552.7532590413
Brunei Darussalam,BRN,60,64847.6517376043
Israel,ISR,60,42894.4926800361
Lithuania,LTU,60,39911.8788857671
Slovenia,SVN,60,42422.2786841348
Saint Vincent and the Grenadines,VCT,59,13037.681093997
Cabo Verde,CPV,58,7489.21150258395
Costa Rica,CRI,57,21737.6499065213
Cyprus,CYP,57,41254.40458771
Latvia,LVA,57,33002.9732949304
Georgia,GEO,56,15656.6039478208
Poland,POL,56,35170.2056620571
Saint Lucia,LCA,56,16132.4145175205
Dominica,DMA,55,12444.441138884
Czechia,CZE,54,44286.9474898875
Oman,OMN,54,28507.4762166219
Rwanda,RWA,54,2325.40791678753
Grenada,GRD,53,17792.9086435426
Italy,ITA,53,45719.008290148
Malta,MLT,53,47445.2020829218
Mauritius,MUS,53,23882.3542676011
Saudi Arabia,SAU,53,49040.3429456877
Malaysia,MYS,51,29619.6872725667
Namibia,NAM,51,10063.6499589568
Greece,GRC,50,32503.789920638
Armenia,ARM,49,14257.9624870448
Jordan,JOR,49,10517.0670336401
Slovakia,SVK,49,33515.4325286195
Belarus,BLR,47,20101.1150499252
Croatia,HRV,47,31148.0007910082
Cuba,CUB,47,NA
Sao Tome and Principe,STP,47,4145.22703770579
Montenegro,MNE,45,24040.1170028702
Senegal,SEN,45,3545.10033995315
Bulgaria,BGR,44,25312.0802278685
Hungary,HUN,44,34962.032489698
Jamaica,JAM,44,10193.4695239053
Romania,ROU,44,33323.2757008224
South Africa,ZAF,44,13034.1653285527
Tunisia,TUN,44,11231.5710195248
Ghana,GHA,43,5652.15060759374
Maldives,MDV,43,20395.4942407226
Vanuatu,VUT,43,3292.54406464072
Argentina,ARG,42,23040.2879526544
Bahrain,BHR,42,47002.5493359525
China,CHN,42,16804.425782267
Kuwait,KWT,42,52059.7233148301
Solomon Islands,SLB,42,2780.63775054572
Benin,BEN,41,3432.78130027653
Guyana,GUY,41,13661.2802492827
Lesotho,LSO,41,2824.0924775131
Burkina Faso,BFA,40,2274.71973639652
India,IND,40,6996.55692650234
Morocco,MAR,40,7826.16767727681
Timor-Leste,TLS,40,3709.81127019698
Trinidad and Tobago,TTO,40,27334.1839780114
Turkey,TUR,40,28133.0886494052
Colombia,COL,39,16012.4457431478
Ecuador,ECU,39,11878.7183637027
Brazil,BRA,38,15299.9872589341
Ethiopia,ETH,38,2319.70737799741
Kazakhstan,KAZ,38,27517.9384466114
Peru,PER,38,13416.4366277108
Serbia,SRB,38,19494.4062048351
Sri Lanka,LKA,38,13656.8370383651
Suriname,SUR,38,17256.02044768
Tanzania,TZA,38,2770.68117187672
Gambia,GMB,37,2321.23774758047
Indonesia,IDN,37,12334.9172683236
Albania,ALB,36,14648.2674019058
Algeria,DZA,36,12019.9283559331
Côte d'Ivoire,CIV,36,5443.22483894621
El Salvador,SLV,36,9164.34612258003
Kosovo,KSV,36,NA
Thailand,THA,36,19276.8963300209
Vietnam,VNM,36,8397.02104225433
Bosnia and Herzegovina,BIH,35,16288.8302196838
Mongolia,MNG,35,12861.8365587725
North Macedonia,MKD,35,18107.7835662903
Panama,PAN,35,32850.8193505311
Moldova,MDA,34,13598.2612449572
Philippines,PHL,34,9302.38529765549
Egypt,EGY,33,12283.8073656393
Eswatini,SWZ,33,9003.36423142681
Nepal,NPL,33,3567.99293874045
Sierra Leone,SLE,33,1794.31480252607
Ukraine,UKR,33,13341.2105189612
Zambia,ZMB,33,3624.02493904299
Niger,NER,32,1278.69815751027
Bolivia,BOL,31,9110.55582043167
Kenya,KEN,31,4521.47915130539
Kyrgyzstan,KGZ,31,5486.15508967045
Mexico,MEX,31,20944.0290161466
